Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>95",0.568
"Chronic Lymphocytic Leukemia","Age 30","Age <br/>95+",0.582
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>40",0.002
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>45",0.007
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>50",0.017
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>55",0.039
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>60",0.074
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>65",0.128
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>70",0.202
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>75",0.291
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>80",0.384
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>85",0.472
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>90",0.537
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>95",0.571
"Chronic Lymphocytic Leukemia","Age 35","Age <br/>95+",0.585
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>45",0.005
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>50",0.015
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>55",0.037
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>60",0.072
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>65",0.126
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>70",0.201
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>75",0.291
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>80",0.385
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>85",0.473
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>90",0.538
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>95",0.573
"Chronic Lymphocytic Leukemia","Age 40","Age <br/>95+",0.587
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>50",0.011
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>55",0.033
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>60",0.068
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>65",0.123
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>70",0.198
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>75",0.289
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>80",0.384
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>85",0.473
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>90",0.539
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>95",0.574
"Chronic Lymphocytic Leukemia","Age 45","Age <br/>95+",0.588
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>55",0.022
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>60",0.058
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>65",0.114
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>70",0.190
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>75",0.282
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>80",0.379
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>85",0.470
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>90",0.536
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>95",0.571
"Chronic Lymphocytic Leukemia","Age 50","Age <br/>95+",0.586
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>60",0.037
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>65",0.094
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>70",0.172
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>75",0.266
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>80",0.365
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>85",0.458
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>90",0.526
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>95",0.562
"Chronic Lymphocytic Leukemia","Age 55","Age <br/>95+",0.577
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>65",0.059
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>70",0.140
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>75",0.237
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>80",0.340
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>85",0.436
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>90",0.507
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>95",0.544
"Chronic Lymphocytic Leukemia","Age 60","Age <br/>95+",0.559
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>65",
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>70",0.085
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>75",0.188
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>80",0.295
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>85",0.397
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>90",0.471
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>95",0.510
"Chronic Lymphocytic Leukemia","Age 65","Age <br/>95+",0.526
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>65",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>70",
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>75",0.110
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>80",0.226
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>85",0.335
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>90",0.414
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>95",0.457
"Chronic Lymphocytic Leukemia","Age 70","Age <br/>95+",0.474
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>65",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>70",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>75",
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>80",0.130
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>85",0.251
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>90",0.340
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>95",0.387
"Chronic Lymphocytic Leukemia","Age 75","Age <br/>95+",0.406
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>65",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>70",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>75",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>80",
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>85",0.145
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>90",0.252
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>95",0.308
"Chronic Lymphocytic Leukemia","Age 80","Age <br/>95+",0.331
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>65",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>70",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>75",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>80",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>85",
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>90",0.144
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>95",0.220
"Chronic Lymphocytic Leukemia","Age 85","Age <br/>95+",0.251
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>65",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>70",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>75",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>80",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>85",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>90",
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>95",0.127
"Chronic Lymphocytic Leukemia","Age 90","Age <br/>95+",0.178
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>5",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>10",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>15",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>20",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>25",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>30",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>35",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>40",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>45",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>50",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>55",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>60",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>65",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>70",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>75",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>80",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>85",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>90",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>95",
"Chronic Lymphocytic Leukemia","Age 95","Age <br/>95+",0.117
"Acute Myeloid Leukemia","Age 0","Age <br/>5",0.006
"Acute Myeloid Leukemia","Age 0","Age <br/>10",0.008
"Acute Myeloid Leukemia","Age 0","Age <br/>15",0.012
"Acute Myeloid Leukemia","Age 0","Age <br/>20",0.017
"Acute Myeloid Leukemia","Age 0","Age <br/>25",0.022
"Acute Myeloid Leukemia","Age 0","Age <br/>30",0.028
"Acute Myeloid Leukemia","Age 0","Age <br/>35",0.035
"Acute Myeloid Leukemia","Age 0","Age <br/>40",0.043
"Acute Myeloid Leukemia","Age 0","Age <br/>45",0.053
"Acute Myeloid Leukemia","Age 0","Age <br/>50",0.065
"Acute Myeloid Leukemia","Age 0","Age <br/>55",0.082
"Acute Myeloid Leukemia","Age 0","Age <br/>60",0.104
"Acute Myeloid Leukemia","Age 0","Age <br/>65",0.138
"Acute Myeloid Leukemia","Age 0","Age <br/>70",0.187
"Acute Myeloid Leukemia","Age 0","Age <br/>75",0.255
"Acute Myeloid Leukemia","Age 0","Age <br/>80",0.330
"Acute Myeloid Leukemia","Age 0","Age <br/>85",0.401
"Acute Myeloid Leukemia","Age 0","Age <br/>90",0.451
"Acute Myeloid Leukemia","Age 0","Age <br/>95",0.473
"Acute Myeloid Leukemia","Age 0","Age <br/>95+",0.482
"Acute Myeloid Leukemia","Age 5","Age <br/>5",
"Acute Myeloid Leukemia","Age 5","Age <br/>10",0.003
"Acute Myeloid Leukemia","Age 5","Age <br/>15",0.006
"Acute Myeloid Leukemia","Age 5","Age <br/>20",0.011
"Acute Myeloid Leukemia","Age 5","Age <br/>25",0.017
"Acute Myeloid Leukemia","Age 5","Age <br/>30",0.023
"Acute Myeloid Leukemia","Age 5","Age <br/>35",0.030
"Acute Myeloid Leukemia","Age 5","Age <br/>40",0.038
"Acute Myeloid Leukemia","Age 5","Age <br/>45",0.047
"Acute Myeloid Leukemia","Age 5","Age <br/>50",0.060
"Acute Myeloid Leukemia","Age 5","Age <br/>55",0.077
"Acute Myeloid Leukemia","Age 5","Age <br/>60",0.100
"Acute Myeloid Leukemia","Age 5","Age <br/>65",0.134
"Acute Myeloid Leukemia","Age 5","Age <br/>70",0.183
"Acute Myeloid Leukemia","Age 5","Age <br/>75",0.252
"Acute Myeloid Leukemia","Age 5","Age <br/>80",0.327
"Acute Myeloid Leukemia","Age 5","Age <br/>85",0.399
"Acute Myeloid Leukemia","Age 5","Age <br/>90",0.450
"Acute Myeloid Leukemia","Age 5","Age <br/>95",0.472
"Acute Myeloid Leukemia","Age 5","Age <br/>95+",0.481
"Acute Myeloid Leukemia","Age 10","Age <br/>5",
"Acute Myeloid Leukemia","Age 10","Age <br/>10",
"Acute Myeloid Leukemia","Age 10","Age <br/>15",0.004
"Acute Myeloid Leukemia","Age 10","Age <br/>20",0.008
"Acute Myeloid Leukemia","Age 10","Age <br/>25",0.014
"Acute Myeloid Leukemia","Age 10","Age <br/>30",0.020
"Acute Myeloid Leukemia","Age 10","Age <br/>35",0.027
"Acute Myeloid Leukemia","Age 10","Age <br/>40",0.035
"Acute Myeloid Leukemia","Age 10","Age <br/>45",0.045
"Acute Myeloid Leukemia","Age 10","Age <br/>50",0.057
"Acute Myeloid Leukemia","Age 10","Age <br/>55",0.074
"Acute Myeloid Leukemia","Age 10","Age <br/>60",0.097
"Acute Myeloid Leukemia","Age 10","Age <br/>65",0.131
"Acute Myeloid Leukemia","Age 10","Age <br/>70",0.181
"Acute Myeloid Leukemia","Age 10","Age <br/>75",0.250
"Acute Myeloid Leukemia","Age 10","Age <br/>80",0.325
"Acute Myeloid Leukemia","Age 10","Age <br/>85",0.397
"Acute Myeloid Leukemia","Age 10","Age <br/>90",0.447
"Acute Myeloid Leukemia","Age 10","Age <br/>95",0.470
"Acute Myeloid Leukemia","Age 10","Age <br/>95+",0.478
"Acute Myeloid Leukemia","Age 15","Age <br/>5",
"Acute Myeloid Leukemia","Age 15","Age <br/>10",
"Acute Myeloid Leukemia","Age 15","Age <br/>15",
"Acute Myeloid Leukemia","Age 15","Age <br/>20",0.005
"Acute Myeloid Leukemia","Age 15","Age <br/>25",0.010
"Acute Myeloid Leukemia","Age 15","Age <br/>30",0.016
"Acute Myeloid Leukemia","Age 15","Age <br/>35",0.023
"Acute Myeloid Leukemia","Age 15","Age <br/>40",0.031
"Acute Myeloid Leukemia","Age 15","Age <br/>45",0.041
"Acute Myeloid Leukemia","Age 15","Age <br/>50",0.053
"Acute Myeloid Leukemia","Age 15","Age <br/>55",0.070
"Acute Myeloid Leukemia","Age 15","Age <br/>60",0.094
"Acute Myeloid Leukemia","Age 15","Age <br/>65",0.128
"Acute Myeloid Leukemia","Age 15","Age <br/>70",0.177
"Acute Myeloid Leukemia","Age 15","Age <br/>75",0.246
"Acute Myeloid Leukemia","Age 15","Age <br/>80",0.321
"Acute Myeloid Leukemia","Age 15","Age <br/>85",0.394
"Acute Myeloid Leukemia","Age 15","Age <br/>90",0.444
"Acute Myeloid Leukemia","Age 15","Age <br/>95",0.467
"Acute Myeloid Leukemia","Age 15","Age <br/>95+",0.475
"Acute Myeloid Leukemia","Age 20","Age <br/>5",
"Acute Myeloid Leukemia","Age 20","Age <br/>10",
"Acute Myeloid Leukemia","Age 20","Age <br/>15",
"Acute Myeloid Leukemia","Age 20","Age <br/>20",
"Acute Myeloid Leukemia","Age 20","Age <br/>25",0.006
"Acute Myeloid Leukemia","Age 20","Age <br/>30",0.012
"Acute Myeloid Leukemia","Age 20","Age <br/>35",0.019
"Acute Myeloid Leukemia","Age 20","Age <br/>40",0.027
"Acute Myeloid Leukemia","Age 20","Age <br/>45",0.037
"Acute Myeloid Leukemia","Age 20","Age <br/>50",0.049
"Acute Myeloid Leukemia","Age 20","Age <br/>55",0.066
"Acute Myeloid Leukemia","Age 20","Age <br/>60",0.089
"Acute Myeloid Leukemia","Age 20","Age <br/>65",0.123
"Acute Myeloid Leukemia","Age 20","Age <br/>70",0.173
"Acute Myeloid Leukemia","Age 20","Age <br/>75",0.242
"Acute Myeloid Leukemia","Age 20","Age <br/>80",0.317
"Acute Myeloid Leukemia","Age 20","Age <br/>85",0.390
"Acute Myeloid Leukemia","Age 20","Age <br/>90",0.440
"Acute Myeloid Leukemia","Age 20","Age <br/>95",0.463
"Acute Myeloid Leukemia","Age 20","Age <br/>95+",0.472
"Acute Myeloid Leukemia","Age 25","Age <br/>5",
"Acute Myeloid Leukemia","Age 25","Age <br/>10",
"Acute Myeloid Leukemia","Age 25","Age <br/>15",
"Acute Myeloid Leukemia","Age 25","Age <br/>20",
"Acute Myeloid Leukemia","Age 25","Age <br/>25",
"Acute Myeloid Leukemia","Age 25","Age <br/>30",0.006
"Acute Myeloid Leukemia","Age 25","Age <br/>35",0.013
"Acute Myeloid Leukemia","Age 25","Age <br/>40",0.021
"Acute Myeloid Leukemia","Age 25","Age <br/>45",0.031
"Acute Myeloid Leukemia","Age 25","Age <br/>50",0.043
"Acute Myeloid Leukemia","Age 25","Age <br/>55",0.060
"Acute Myeloid Leukemia","Age 25","Age <br/>60",0.084
"Acute Myeloid Leukemia","Age 25","Age <br/>65",0.118
"Acute Myeloid Leukemia","Age 25","Age <br/>70",0.168
"Acute Myeloid Leukemia","Age 25","Age <br/>75",0.237
"Acute Myeloid Leukemia","Age 25","Age <br/>80",0.313
"Acute Myeloid Leukemia","Age 25","Age <br/>85",0.386
"Acute Myeloid Leukemia","Age 25","Age <br/>90",0.436
"Acute Myeloid Leukemia","Age 25","Age <br/>95",0.459
"Acute Myeloid Leukemia","Age 25","Age <br/>95+",0.468
"Acute Myeloid Leukemia","Age 30","Age <br/>5",
"Acute Myeloid Leukemia","Age 30","Age <br/>10",
"Acute Myeloid Leukemia","Age 30","Age <br/>15",
"Acute Myeloid Leukemia","Age 30","Age <br/>20",
"Acute Myeloid Leukemia","Age 30","Age <br/>25",
"Acute Myeloid Leukemia","Age 30","Age <br/>30",
"Acute Myeloid Leukemia","Age 30","Age <br/>35",0.007
"Acute Myeloid Leukemia","Age 30","Age <br/>40",0.015
"Acute Myeloid Leukemia","Age 30","Age <br/>45",0.025
"Acute Myeloid Leukemia","Age 30","Age <br/>50",0.037
"Acute Myeloid Leukemia","Age 30","Age <br/>55",0.055
"Acute Myeloid Leukemia","Age 30","Age <br/>60",0.078
"Acute Myeloid Leukemia","Age 30","Age <br/>65",0.113
"Acute Myeloid Leukemia","Age 30","Age <br/>70",0.163
"Acute Myeloid Leukemia","Age 30","Age <br/>75",0.232
"Acute Myeloid Leukemia","Age 30","Age <br/>80",0.308
"Acute Myeloid Leukemia","Age 30","Age <br/>85",0.381
"Acute Myeloid Leukemia","Age 30","Age <br/>90",0.432
"Acute Myeloid Leukemia","Age 30","Age <br/>95",0.455
"Acute Myeloid Leukemia","Age 30","Age <br/>95+",0.464
"Acute Myeloid Leukemia","Age 35","Age <br/>5",
"Acute Myeloid Leukemia","Age 35","Age <br/>10",
"Acute Myeloid Leukemia","Age 35","Age <br/>15",
"Acute Myeloid Leukemia","Age 35","Age <br/>20",
"Acute Myeloid Leukemia","Age 35","Age <br/>25",
"Acute Myeloid Leukemia","Age 35","Age <br/>30",
"Acute Myeloid Leukemia","Age 35","Age <br/>35",
"Acute Myeloid Leukemia","Age 35","Age <br/>40",0.008
"Acute Myeloid Leukemia","Age 35","Age <br/>45",0.018
"Acute Myeloid Leukemia","Age 35","Age <br/>50",0.030
"Acute Myeloid Leukemia","Age 35","Age <br/>55",0.048
"Acute Myeloid Leukemia","Age 35","Age <br/>60",0.071
"Acute Myeloid Leukemia","Age 35","Age <br/>65",0.106
"Acute Myeloid Leukemia","Age 35","Age <br/>70",0.156
"Acute Myeloid Leukemia","Age 35","Age <br/>75",0.227
"Acute Myeloid Leukemia","Age 35","Age <br/>80",0.303
"Acute Myeloid Leukemia","Age 35","Age <br/>85",0.376
"Acute Myeloid Leukemia","Age 35","Age <br/>90",0.428
"Acute Myeloid Leukemia","Age 35","Age <br/>95",0.451
"Acute Myeloid Leukemia","Age 35","Age <br/>95+",0.459
"Acute Myeloid Leukemia","Age 40","Age <br/>5",
"Acute Myeloid Leukemia","Age 40","Age <br/>10",
"Acute Myeloid Leukemia","Age 40","Age <br/>15",
"Acute Myeloid Leukemia","Age 40","Age <br/>20",
"Acute Myeloid Leukemia","Age 40","Age <br/>25",
"Acute Myeloid Leukemia","Age 40","Age <br/>30",
