Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Female
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Female Breast","Age 55","Age <br/>20",
"Female Breast","Age 55","Age <br/>25",
"Female Breast","Age 55","Age <br/>30",
"Female Breast","Age 55","Age <br/>35",
"Female Breast","Age 55","Age <br/>40",
"Female Breast","Age 55","Age <br/>45",
"Female Breast","Age 55","Age <br/>50",
"Female Breast","Age 55","Age <br/>55",
"Female Breast","Age 55","Age <br/>60",1.272
"Female Breast","Age 55","Age <br/>65",2.819
"Female Breast","Age 55","Age <br/>70",4.619
"Female Breast","Age 55","Age <br/>75",6.425
"Female Breast","Age 55","Age <br/>80",7.977
"Female Breast","Age 55","Age <br/>85",9.136
"Female Breast","Age 55","Age <br/>90",9.865
"Female Breast","Age 55","Age <br/>95",10.194
"Female Breast","Age 55","Age <br/>95+",10.336
"Female Breast","Age 60","Age <br/>5",
"Female Breast","Age 60","Age <br/>10",
"Female Breast","Age 60","Age <br/>15",
"Female Breast","Age 60","Age <br/>20",
"Female Breast","Age 60","Age <br/>25",
"Female Breast","Age 60","Age <br/>30",
"Female Breast","Age 60","Age <br/>35",
"Female Breast","Age 60","Age <br/>40",
"Female Breast","Age 60","Age <br/>45",
"Female Breast","Age 60","Age <br/>50",
"Female Breast","Age 60","Age <br/>55",
"Female Breast","Age 60","Age <br/>60",
"Female Breast","Age 60","Age <br/>65",1.605
"Female Breast","Age 60","Age <br/>70",3.474
"Female Breast","Age 60","Age <br/>75",5.348
"Female Breast","Age 60","Age <br/>80",6.959
"Female Breast","Age 60","Age <br/>85",8.162
"Female Breast","Age 60","Age <br/>90",8.917
"Female Breast","Age 60","Age <br/>95",9.259
"Female Breast","Age 60","Age <br/>95+",9.407
"Female Breast","Age 65","Age <br/>5",
"Female Breast","Age 65","Age <br/>10",
"Female Breast","Age 65","Age <br/>15",
"Female Breast","Age 65","Age <br/>20",
"Female Breast","Age 65","Age <br/>25",
"Female Breast","Age 65","Age <br/>30",
"Female Breast","Age 65","Age <br/>35",
"Female Breast","Age 65","Age <br/>40",
"Female Breast","Age 65","Age <br/>45",
"Female Breast","Age 65","Age <br/>50",
"Female Breast","Age 65","Age <br/>55",
"Female Breast","Age 65","Age <br/>60",
"Female Breast","Age 65","Age <br/>65",
"Female Breast","Age 65","Age <br/>70",1.968
"Female Breast","Age 65","Age <br/>75",3.941
"Female Breast","Age 65","Age <br/>80",5.638
"Female Breast","Age 65","Age <br/>85",6.904
"Female Breast","Age 65","Age <br/>90",7.700
"Female Breast","Age 65","Age <br/>95",8.060
"Female Breast","Age 65","Age <br/>95+",8.215
"Female Breast","Age 70","Age <br/>5",
"Female Breast","Age 70","Age <br/>10",
"Female Breast","Age 70","Age <br/>15",
"Female Breast","Age 70","Age <br/>20",
"Female Breast","Age 70","Age <br/>25",
"Female Breast","Age 70","Age <br/>30",
"Female Breast","Age 70","Age <br/>35",
"Female Breast","Age 70","Age <br/>40",
"Female Breast","Age 70","Age <br/>45",
"Female Breast","Age 70","Age <br/>50",
"Female Breast","Age 70","Age <br/>55",
"Female Breast","Age 70","Age <br/>60",
"Female Breast","Age 70","Age <br/>65",
"Female Breast","Age 70","Age <br/>70",
"Female Breast","Age 70","Age <br/>75",2.125
"Female Breast","Age 70","Age <br/>80",3.951
"Female Breast","Age 70","Age <br/>85",5.315
"Female Breast","Age 70","Age <br/>90",6.172
"Female Breast","Age 70","Age <br/>95",6.560
"Female Breast","Age 70","Age <br/>95+",6.727
"Female Breast","Age 75","Age <br/>5",
"Female Breast","Age 75","Age <br/>10",
"Female Breast","Age 75","Age <br/>15",
"Female Breast","Age 75","Age <br/>20",
"Female Breast","Age 75","Age <br/>25",
"Female Breast","Age 75","Age <br/>30",
"Female Breast","Age 75","Age <br/>35",
"Female Breast","Age 75","Age <br/>40",
"Female Breast","Age 75","Age <br/>45",
"Female Breast","Age 75","Age <br/>50",
"Female Breast","Age 75","Age <br/>55",
"Female Breast","Age 75","Age <br/>60",
"Female Breast","Age 75","Age <br/>65",
"Female Breast","Age 75","Age <br/>70",
"Female Breast","Age 75","Age <br/>75",
"Female Breast","Age 75","Age <br/>80",2.038
"Female Breast","Age 75","Age <br/>85",3.560
"Female Breast","Age 75","Age <br/>90",4.516
"Female Breast","Age 75","Age <br/>95",4.948
"Female Breast","Age 75","Age <br/>95+",5.135
"Female Breast","Age 80","Age <br/>5",
"Female Breast","Age 80","Age <br/>10",
"Female Breast","Age 80","Age <br/>15",
"Female Breast","Age 80","Age <br/>20",
"Female Breast","Age 80","Age <br/>25",
"Female Breast","Age 80","Age <br/>30",
"Female Breast","Age 80","Age <br/>35",
"Female Breast","Age 80","Age <br/>40",
"Female Breast","Age 80","Age <br/>45",
"Female Breast","Age 80","Age <br/>50",
"Female Breast","Age 80","Age <br/>55",
"Female Breast","Age 80","Age <br/>60",
"Female Breast","Age 80","Age <br/>65",
"Female Breast","Age 80","Age <br/>70",
"Female Breast","Age 80","Age <br/>75",
"Female Breast","Age 80","Age <br/>80",
"Female Breast","Age 80","Age <br/>85",1.801
"Female Breast","Age 80","Age <br/>90",2.932
"Female Breast","Age 80","Age <br/>95",3.444
"Female Breast","Age 80","Age <br/>95+",3.665
"Female Breast","Age 85","Age <br/>5",
"Female Breast","Age 85","Age <br/>10",
"Female Breast","Age 85","Age <br/>15",
"Female Breast","Age 85","Age <br/>20",
"Female Breast","Age 85","Age <br/>25",
"Female Breast","Age 85","Age <br/>30",
"Female Breast","Age 85","Age <br/>35",
"Female Breast","Age 85","Age <br/>40",
"Female Breast","Age 85","Age <br/>45",
"Female Breast","Age 85","Age <br/>50",
"Female Breast","Age 85","Age <br/>55",
"Female Breast","Age 85","Age <br/>60",
"Female Breast","Age 85","Age <br/>65",
"Female Breast","Age 85","Age <br/>70",
"Female Breast","Age 85","Age <br/>75",
"Female Breast","Age 85","Age <br/>80",
"Female Breast","Age 85","Age <br/>85",
"Female Breast","Age 85","Age <br/>90",1.491
"Female Breast","Age 85","Age <br/>95",2.165
"Female Breast","Age 85","Age <br/>95+",2.456
"Female Breast","Age 90","Age <br/>5",
"Female Breast","Age 90","Age <br/>10",
"Female Breast","Age 90","Age <br/>15",
"Female Breast","Age 90","Age <br/>20",
"Female Breast","Age 90","Age <br/>25",
"Female Breast","Age 90","Age <br/>30",
"Female Breast","Age 90","Age <br/>35",
"Female Breast","Age 90","Age <br/>40",
"Female Breast","Age 90","Age <br/>45",
"Female Breast","Age 90","Age <br/>50",
"Female Breast","Age 90","Age <br/>55",
"Female Breast","Age 90","Age <br/>60",
"Female Breast","Age 90","Age <br/>65",
"Female Breast","Age 90","Age <br/>70",
"Female Breast","Age 90","Age <br/>75",
"Female Breast","Age 90","Age <br/>80",
"Female Breast","Age 90","Age <br/>85",
"Female Breast","Age 90","Age <br/>90",
"Female Breast","Age 90","Age <br/>95",1.082
"Female Breast","Age 90","Age <br/>95+",1.549
"Female Breast","Age 95","Age <br/>5",
"Female Breast","Age 95","Age <br/>10",
"Female Breast","Age 95","Age <br/>15",
"Female Breast","Age 95","Age <br/>20",
"Female Breast","Age 95","Age <br/>25",
"Female Breast","Age 95","Age <br/>30",
"Female Breast","Age 95","Age <br/>35",
"Female Breast","Age 95","Age <br/>40",
"Female Breast","Age 95","Age <br/>45",
"Female Breast","Age 95","Age <br/>50",
"Female Breast","Age 95","Age <br/>55",
"Female Breast","Age 95","Age <br/>60",
"Female Breast","Age 95","Age <br/>65",
"Female Breast","Age 95","Age <br/>70",
"Female Breast","Age 95","Age <br/>75",
"Female Breast","Age 95","Age <br/>80",
"Female Breast","Age 95","Age <br/>85",
"Female Breast","Age 95","Age <br/>90",
"Female Breast","Age 95","Age <br/>95",
"Female Breast","Age 95","Age <br/>95+",1.027


"Cancer sites include invasive cases only unless otherwise noted."

"Source: Underlying Incidence data are from the SEER 18 areas (San Francisco, Connecticut, Detroit, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey and Georgia excluding ATL/RG).\
Rates are calculated using DevCan Version 6.7, April 2018, National Cancer Institute (http://surveillance.cancer.gov/devcan/)."

