Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Both Sexes
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Colon and Rectum","Age 45","Age <br/>5",
"Colon and Rectum","Age 45","Age <br/>10",
"Colon and Rectum","Age 45","Age <br/>15",
"Colon and Rectum","Age 45","Age <br/>20",
"Colon and Rectum","Age 45","Age <br/>25",
"Colon and Rectum","Age 45","Age <br/>30",
"Colon and Rectum","Age 45","Age <br/>35",
"Colon and Rectum","Age 45","Age <br/>40",
"Colon and Rectum","Age 45","Age <br/>45",
"Colon and Rectum","Age 45","Age <br/>50",0.164
"Colon and Rectum","Age 45","Age <br/>55",0.438
"Colon and Rectum","Age 45","Age <br/>60",0.764
"Colon and Rectum","Age 45","Age <br/>65",1.166
"Colon and Rectum","Age 45","Age <br/>70",1.665
"Colon and Rectum","Age 45","Age <br/>75",2.231
"Colon and Rectum","Age 45","Age <br/>80",2.848
"Colon and Rectum","Age 45","Age <br/>85",3.451
"Colon and Rectum","Age 45","Age <br/>90",3.906
"Colon and Rectum","Age 45","Age <br/>95",4.134
"Colon and Rectum","Age 45","Age <br/>95+",4.227
"Colon and Rectum","Age 50","Age <br/>5",
"Colon and Rectum","Age 50","Age <br/>10",
"Colon and Rectum","Age 50","Age <br/>15",
"Colon and Rectum","Age 50","Age <br/>20",
"Colon and Rectum","Age 50","Age <br/>25",
"Colon and Rectum","Age 50","Age <br/>30",
"Colon and Rectum","Age 50","Age <br/>35",
"Colon and Rectum","Age 50","Age <br/>40",
"Colon and Rectum","Age 50","Age <br/>45",
"Colon and Rectum","Age 50","Age <br/>50",
"Colon and Rectum","Age 50","Age <br/>55",0.279
"Colon and Rectum","Age 50","Age <br/>60",0.610
"Colon and Rectum","Age 50","Age <br/>65",1.019
"Colon and Rectum","Age 50","Age <br/>70",1.526
"Colon and Rectum","Age 50","Age <br/>75",2.100
"Colon and Rectum","Age 50","Age <br/>80",2.728
"Colon and Rectum","Age 50","Age <br/>85",3.341
"Colon and Rectum","Age 50","Age <br/>90",3.803
"Colon and Rectum","Age 50","Age <br/>95",4.035
"Colon and Rectum","Age 50","Age <br/>95+",4.129
"Colon and Rectum","Age 55","Age <br/>5",
"Colon and Rectum","Age 55","Age <br/>10",
"Colon and Rectum","Age 55","Age <br/>15",
"Colon and Rectum","Age 55","Age <br/>20",
"Colon and Rectum","Age 55","Age <br/>25",
"Colon and Rectum","Age 55","Age <br/>30",
"Colon and Rectum","Age 55","Age <br/>35",
"Colon and Rectum","Age 55","Age <br/>40",
"Colon and Rectum","Age 55","Age <br/>45",
"Colon and Rectum","Age 55","Age <br/>50",
"Colon and Rectum","Age 55","Age <br/>55",
"Colon and Rectum","Age 55","Age <br/>60",0.340
"Colon and Rectum","Age 55","Age <br/>65",0.759
"Colon and Rectum","Age 55","Age <br/>70",1.279
"Colon and Rectum","Age 55","Age <br/>75",1.868
"Colon and Rectum","Age 55","Age <br/>80",2.512
"Colon and Rectum","Age 55","Age <br/>85",3.141
"Colon and Rectum","Age 55","Age <br/>90",3.615
"Colon and Rectum","Age 55","Age <br/>95",3.852
"Colon and Rectum","Age 55","Age <br/>95+",3.949
"Colon and Rectum","Age 60","Age <br/>5",
"Colon and Rectum","Age 60","Age <br/>10",
"Colon and Rectum","Age 60","Age <br/>15",
"Colon and Rectum","Age 60","Age <br/>20",
"Colon and Rectum","Age 60","Age <br/>25",
"Colon and Rectum","Age 60","Age <br/>30",
"Colon and Rectum","Age 60","Age <br/>35",
"Colon and Rectum","Age 60","Age <br/>40",
"Colon and Rectum","Age 60","Age <br/>45",
"Colon and Rectum","Age 60","Age <br/>50",
"Colon and Rectum","Age 60","Age <br/>55",
"Colon and Rectum","Age 60","Age <br/>60",
"Colon and Rectum","Age 60","Age <br/>65",0.435
"Colon and Rectum","Age 60","Age <br/>70",0.974
"Colon and Rectum","Age 60","Age <br/>75",1.586
"Colon and Rectum","Age 60","Age <br/>80",2.255
"Colon and Rectum","Age 60","Age <br/>85",2.907
"Colon and Rectum","Age 60","Age <br/>90",3.399
"Colon and Rectum","Age 60","Age <br/>95",3.645
"Colon and Rectum","Age 60","Age <br/>95+",3.746
"Colon and Rectum","Age 65","Age <br/>5",
"Colon and Rectum","Age 65","Age <br/>10",
"Colon and Rectum","Age 65","Age <br/>15",
"Colon and Rectum","Age 65","Age <br/>20",
"Colon and Rectum","Age 65","Age <br/>25",
"Colon and Rectum","Age 65","Age <br/>30",
"Colon and Rectum","Age 65","Age <br/>35",
"Colon and Rectum","Age 65","Age <br/>40",
"Colon and Rectum","Age 65","Age <br/>45",
"Colon and Rectum","Age 65","Age <br/>50",
"Colon and Rectum","Age 65","Age <br/>55",
"Colon and Rectum","Age 65","Age <br/>60",
"Colon and Rectum","Age 65","Age <br/>65",
"Colon and Rectum","Age 65","Age <br/>70",0.568
"Colon and Rectum","Age 65","Age <br/>75",1.213
"Colon and Rectum","Age 65","Age <br/>80",1.918
"Colon and Rectum","Age 65","Age <br/>85",2.605
"Colon and Rectum","Age 65","Age <br/>90",3.124
"Colon and Rectum","Age 65","Age <br/>95",3.384
"Colon and Rectum","Age 65","Age <br/>95+",3.490
"Colon and Rectum","Age 70","Age <br/>5",
"Colon and Rectum","Age 70","Age <br/>10",
"Colon and Rectum","Age 70","Age <br/>15",
"Colon and Rectum","Age 70","Age <br/>20",
"Colon and Rectum","Age 70","Age <br/>25",
"Colon and Rectum","Age 70","Age <br/>30",
"Colon and Rectum","Age 70","Age <br/>35",
"Colon and Rectum","Age 70","Age <br/>40",
"Colon and Rectum","Age 70","Age <br/>45",
"Colon and Rectum","Age 70","Age <br/>50",
"Colon and Rectum","Age 70","Age <br/>55",
"Colon and Rectum","Age 70","Age <br/>60",
"Colon and Rectum","Age 70","Age <br/>65",
"Colon and Rectum","Age 70","Age <br/>70",
"Colon and Rectum","Age 70","Age <br/>75",0.696
"Colon and Rectum","Age 70","Age <br/>80",1.455
"Colon and Rectum","Age 70","Age <br/>85",2.197
"Colon and Rectum","Age 70","Age <br/>90",2.755
"Colon and Rectum","Age 70","Age <br/>95",3.036
"Colon and Rectum","Age 70","Age <br/>95+",3.150
"Colon and Rectum","Age 75","Age <br/>5",
"Colon and Rectum","Age 75","Age <br/>10",
"Colon and Rectum","Age 75","Age <br/>15",
"Colon and Rectum","Age 75","Age <br/>20",
"Colon and Rectum","Age 75","Age <br/>25",
"Colon and Rectum","Age 75","Age <br/>30",
"Colon and Rectum","Age 75","Age <br/>35",
"Colon and Rectum","Age 75","Age <br/>40",
"Colon and Rectum","Age 75","Age <br/>45",
"Colon and Rectum","Age 75","Age <br/>50",
"Colon and Rectum","Age 75","Age <br/>55",
"Colon and Rectum","Age 75","Age <br/>60",
"Colon and Rectum","Age 75","Age <br/>65",
"Colon and Rectum","Age 75","Age <br/>70",
"Colon and Rectum","Age 75","Age <br/>75",
"Colon and Rectum","Age 75","Age <br/>80",0.852
"Colon and Rectum","Age 75","Age <br/>85",1.684
"Colon and Rectum","Age 75","Age <br/>90",2.311
"Colon and Rectum","Age 75","Age <br/>95",2.626
"Colon and Rectum","Age 75","Age <br/>95+",2.754
"Colon and Rectum","Age 80","Age <br/>5",
"Colon and Rectum","Age 80","Age <br/>10",
"Colon and Rectum","Age 80","Age <br/>15",
"Colon and Rectum","Age 80","Age <br/>20",
"Colon and Rectum","Age 80","Age <br/>25",
"Colon and Rectum","Age 80","Age <br/>30",
"Colon and Rectum","Age 80","Age <br/>35",
"Colon and Rectum","Age 80","Age <br/>40",
"Colon and Rectum","Age 80","Age <br/>45",
"Colon and Rectum","Age 80","Age <br/>50",
"Colon and Rectum","Age 80","Age <br/>55",
"Colon and Rectum","Age 80","Age <br/>60",
"Colon and Rectum","Age 80","Age <br/>65",
"Colon and Rectum","Age 80","Age <br/>70",
"Colon and Rectum","Age 80","Age <br/>75",
"Colon and Rectum","Age 80","Age <br/>80",
"Colon and Rectum","Age 80","Age <br/>85",0.999
"Colon and Rectum","Age 80","Age <br/>90",1.752
"Colon and Rectum","Age 80","Age <br/>95",2.129
"Colon and Rectum","Age 80","Age <br/>95+",2.283
"Colon and Rectum","Age 85","Age <br/>5",
"Colon and Rectum","Age 85","Age <br/>10",
"Colon and Rectum","Age 85","Age <br/>15",
"Colon and Rectum","Age 85","Age <br/>20",
"Colon and Rectum","Age 85","Age <br/>25",
"Colon and Rectum","Age 85","Age <br/>30",
"Colon and Rectum","Age 85","Age <br/>35",
"Colon and Rectum","Age 85","Age <br/>40",
"Colon and Rectum","Age 85","Age <br/>45",
"Colon and Rectum","Age 85","Age <br/>50",
"Colon and Rectum","Age 85","Age <br/>55",
"Colon and Rectum","Age 85","Age <br/>60",
"Colon and Rectum","Age 85","Age <br/>65",
"Colon and Rectum","Age 85","Age <br/>70",
"Colon and Rectum","Age 85","Age <br/>75",
"Colon and Rectum","Age 85","Age <br/>80",
"Colon and Rectum","Age 85","Age <br/>85",
"Colon and Rectum","Age 85","Age <br/>90",1.021
"Colon and Rectum","Age 85","Age <br/>95",1.533
"Colon and Rectum","Age 85","Age <br/>95+",1.742
"Colon and Rectum","Age 90","Age <br/>5",
"Colon and Rectum","Age 90","Age <br/>10",
"Colon and Rectum","Age 90","Age <br/>15",
"Colon and Rectum","Age 90","Age <br/>20",
"Colon and Rectum","Age 90","Age <br/>25",
"Colon and Rectum","Age 90","Age <br/>30",
"Colon and Rectum","Age 90","Age <br/>35",
"Colon and Rectum","Age 90","Age <br/>40",
"Colon and Rectum","Age 90","Age <br/>45",
"Colon and Rectum","Age 90","Age <br/>50",
"Colon and Rectum","Age 90","Age <br/>55",
"Colon and Rectum","Age 90","Age <br/>60",
"Colon and Rectum","Age 90","Age <br/>65",
"Colon and Rectum","Age 90","Age <br/>70",
"Colon and Rectum","Age 90","Age <br/>75",
"Colon and Rectum","Age 90","Age <br/>80",
"Colon and Rectum","Age 90","Age <br/>85",
"Colon and Rectum","Age 90","Age <br/>90",
"Colon and Rectum","Age 90","Age <br/>95",0.855
"Colon and Rectum","Age 90","Age <br/>95+",1.204
"Colon and Rectum","Age 95","Age <br/>5",
"Colon and Rectum","Age 95","Age <br/>10",
"Colon and Rectum","Age 95","Age <br/>15",
"Colon and Rectum","Age 95","Age <br/>20",
"Colon and Rectum","Age 95","Age <br/>25",
"Colon and Rectum","Age 95","Age <br/>30",
"Colon and Rectum","Age 95","Age <br/>35",
"Colon and Rectum","Age 95","Age <br/>40",
"Colon and Rectum","Age 95","Age <br/>45",
"Colon and Rectum","Age 95","Age <br/>50",
"Colon and Rectum","Age 95","Age <br/>55",
"Colon and Rectum","Age 95","Age <br/>60",
"Colon and Rectum","Age 95","Age <br/>65",
"Colon and Rectum","Age 95","Age <br/>70",
"Colon and Rectum","Age 95","Age <br/>75",
"Colon and Rectum","Age 95","Age <br/>80",
"Colon and Rectum","Age 95","Age <br/>85",
"Colon and Rectum","Age 95","Age <br/>90",
"Colon and Rectum","Age 95","Age <br/>95",
"Colon and Rectum","Age 95","Age <br/>95+",0.803
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>5",0.004
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>10",0.005
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>15",0.006
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>20",0.007
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>25",0.007
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>30",0.009
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>35",0.011
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>40",0.016
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>45",0.025
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>50",0.049
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>55",0.108
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>60",0.225
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>65",0.382
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>70",0.533
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>75",0.670
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>80",0.803
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>85",0.909
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>90",0.973
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>95",1.002
"Liver and Intrahepatic Bile Duct","Age 0","Age <br/>95+",1.013
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>10",0.001
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>15",0.002
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>20",0.002
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>25",0.003
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>30",0.005
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>35",0.007
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>40",0.012
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>45",0.021
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>50",0.045
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>55",0.105
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>60",0.223
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>65",0.381
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>70",0.535
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>75",0.673
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>80",0.806
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>85",0.914
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>90",0.979
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>95",1.008
"Liver and Intrahepatic Bile Duct","Age 5","Age <br/>95+",1.019
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>15",0.001
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>20",0.001
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>25",0.002
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>30",0.004
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>35",0.006
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>40",0.011
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>45",0.020
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>50",0.044
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>55",0.104
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>60",0.222
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>65",0.381
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>70",0.534
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>75",0.672
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>80",0.806
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>85",0.914
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>90",0.978
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>95",1.008
"Liver and Intrahepatic Bile Duct","Age 10","Age <br/>95+",1.019
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>20",0.001
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>25",0.002
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>30",0.003
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>35",0.005
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>40",0.010
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>45",0.019
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>50",0.043
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>55",0.103
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>60",0.222
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>65",0.380
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>70",0.534
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>75",0.672
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>80",0.806
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>85",0.914
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>90",0.979
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>95",1.008
"Liver and Intrahepatic Bile Duct","Age 15","Age <br/>95+",1.019
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>25",0.001
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>30",0.002
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>35",0.005
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>40",0.009
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>45",0.019
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>50",0.043
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>55",0.103
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>60",0.222
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>65",0.381
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>70",0.534
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>75",0.673
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>80",0.807
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>85",0.915
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>90",0.980
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>95",1.010
"Liver and Intrahepatic Bile Duct","Age 20","Age <br/>95+",1.020
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>25",
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>30",0.001
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>35",0.004
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>40",0.008
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>45",0.018
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>50",0.042
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>55",0.102
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>60",0.222
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>65",0.381
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>70",0.535
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>75",0.675
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>80",0.809
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>85",0.918
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>90",0.983
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>95",1.013
"Liver and Intrahepatic Bile Duct","Age 25","Age <br/>95+",1.024
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>25",
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>30",
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>35",0.002
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>40",0.007
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>45",0.016
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>50",0.041
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>55",0.101
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>60",0.221
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>65",0.381
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>70",0.536
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>75",0.677
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>80",0.812
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>85",0.921
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>90",0.986
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>95",1.016
"Liver and Intrahepatic Bile Duct","Age 30","Age <br/>95+",1.027
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>25",
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>30",
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>35",
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>40",0.005
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>45",0.014
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>50",0.038
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>55",0.099
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>60",0.220
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>65",0.381
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>70",0.537
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>75",0.678
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>80",0.814
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>85",0.923
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>90",0.989
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>95",1.019
"Liver and Intrahepatic Bile Duct","Age 35","Age <br/>95+",1.030
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>25",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>30",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>35",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>40",
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>45",0.010
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>50",0.034
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>55",0.096
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>60",0.217
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>65",0.379
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>70",0.536
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>75",0.678
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>80",0.815
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>85",0.925
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>90",0.992
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>95",1.022
"Liver and Intrahepatic Bile Duct","Age 40","Age <br/>95+",1.033
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>25",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>30",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>35",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>40",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>45",
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>50",0.025
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>55",0.087
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>60",0.210
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>65",0.373
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>70",0.532
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>75",0.675
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>80",0.813
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>85",0.925
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>90",0.992
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>95",1.022
"Liver and Intrahepatic Bile Duct","Age 45","Age <br/>95+",1.033
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>25",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>30",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>35",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>40",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>45",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>50",
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>55",0.063
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>60",0.188
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>65",0.354
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>70",0.515
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>75",0.660
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>80",0.800
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>85",0.913
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>90",0.982
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>95",1.012
"Liver and Intrahepatic Bile Duct","Age 50","Age <br/>95+",1.024
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>5",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>10",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>15",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>20",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>25",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>30",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>35",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>40",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>45",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>50",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>55",
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>60",0.128
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>65",0.298
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>70",0.462
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>75",0.611
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>80",0.755
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>85",0.871
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>90",0.940
"Liver and Intrahepatic Bile Duct","Age 55","Age <br/>95",0.972
